,Unnamed: 0,job_title,company_name,location,salary,description,description_,ClusterLabel_Aff_Prop,ClusterLabel_kmeans,stipend
0,1,Machine Learning Model Building (For OCR Tool),IIT Bombay,Mumbai,3000-5000,"Selected intern's day-to-day responsibilities include:
 
 1. Work on data cleaning, pre-processing, and image collection
 2. Write well designed, testable, efficient code by using best software development practices
 4. Engage in Docker container creation and deployment
 5. Stay plugged into emerging technologies/industry trends and applying them to operations and activities
 6. Develop the next generation OCR technology to allow our users to generate line-wise bounding boxes for the scanned documents
 7. Develop an ML model to perform OCR on Indic languages (Sanskrit, Hindi, and Marathi)
 8. Occasionally work on the pipeline of OCR text correction to understand the ground scenario (converting scanned text to digital text with manual correction of OCRed text)
 9. Debug and resolve issues using open communities like Stack Overflow and GitHub","work data cleaning, pre-processing, image collection write well designed, testable, efficient code using best software development practices engage docker container creation deployment stay plugged emerging technologies/industry trends applying operations activities develop next generation ocr technology allow users generate line-wise bounding boxes scanned documents develop ml model perform ocr indic languages (sanskrit, hindi, marathoccasionally work pipeline ocr text correction understand ground scenario (converting scanned text digital text manual correction ocred texdebug resolve issues using open communities like stack overflow github ",12,3,4000.0
1,2,Deep Learning,IIT Bombay,Work From Home,2000-4000,"Selected intern's day-to-day responsibilities include: 
 
 1. Conducting research by implementing machine learning/deep learning models
 2. Handling management of dataset, training, testing, and analysis of models
 3. Reading and writing research papers
 4. Performing various experiments and analysis
 5. Writing technical reports
 6. Prototyping solutions
 7. Building systems around the deep learning models
 8. Building infrastructures for the deep learning-based systems
 9. Working on real-world problems and working with IITB Ph.D. students","conducting research implementing machine learning/deep learning models handling management dataset, training, testing, analysis models reading writing research papers performing various experiments analysis writing technical reports prototyping solutions building systems around deep learning models building infrastructures deep learning-based systems working real-world problems working iitb ph.d. students ",0,6,3000.0
2,3,Machine Learning,"Getboarded Technologies, LDA",Work From Home,2000,"Selected intern's day-to-day responsibilities include: 
 
 1. Working on code compliance for Python, NumPy, Tensorflow, and Keras 
 2. Building reusable code and libraries for future use and has sound logic to find the best coding practices and implementing them. 
 3. Ensuring a clear dependency chain in regards to the application logic and included components. 
 4. Optimizing applications for maximum speed and scalability 
 5. Working on Matplotlib for providing visualizations
 6. Programming and developing API using open source frameworks Django 
 7. Working on backend API development and Git versioning","working code compliance python, numpy, tensorflow, keras building reusable code libraries future use sound logic find best coding practices implementing them. ensuring clear dependency chain regards application logic included components. optimizing applications maximum speed scalability working matplotlib providing visualizations programming developing api using open source frameworks django working backend api development git versioning ",7,7,2000.0
3,4,Machine Learning,TorqueVision Labs LLC,Indore,5000,"Selected intern's day-to-day responsibilities include: 
 
 1. Working on computer vision, deep learning, and machine learning
 2. Working on libraries like Opencv, Keras, & Pandas","working computer vision, deep learning, machine learning working libraries like opencv, keras, & pandas ",0,0,5000.0
4,5,Communication,India Sanitation Coalition,Delhi,10000,"Selected intern's day-to-day responsibilities include: 
 
 1. Support to the ISC Secretariat in conducting and execution of Annual ISC-FICCI Sanitation Awards and Support in organizing India Sanitation Conclave 
 2. Work on logistics and other backend support to the ISC Secretariat in organizing other events like workshops and roundtables 
 3. Support to ISC Secretariat in other day to day activities",support isc secretariat conducting execution annual isc-ficci sanitation awards support organizing india sanitation conclave work logistics backend support isc secretariat organizing events like workshops roundtables support isc secretariat day day activities ,4,1,10000.0
5,6,Content Analysis,Sprinklr Private Limited,Bangalore,20000,"Selected intern's day-to-day responsibilities include: 
 
 1. Work on analyzing and preparing suitable data that is required for machine learning/AI models
 2. Work on understanding the model training structure and modify data accordingly
 3. Work on researching industry trends and best practices to prepare the data requirement framework
 4. Work closely with annotators from across the globe to ensure the quality of work
 5. Work on finding patterns to improve the data annotation quality which can, in turn, lead to model accuracy
 6. Work closely with product managers and data scientists to understand requirements and execute data preparation projects","work analyzing preparing suitable data required machine learning/ai models work understanding model training structure modify data accordingly work researching industry trends best practices prepare data requirement framework work closely annotators across globe ensure quality work work finding patterns improve data annotation quality can, turn, lead model accuracy work closely product managers data scientists understand requirements execute data preparation projects ",12,3,20000.0
6,7,Data Science,Solera Life Science Private Limited,Work From Home,4000-6000,"Selected intern's day-to-day responsibilities include:
 
 1. Work on applied text mining/processing
 2. Work on natural language processing
 3. Work on training an ML model 
 4. Work on chatbots, sentiment extraction from text
 5. Make scrapers using Selenium, BS, and Scrapy","work applied text mining/processing work natural language processing work training ml model work chatbots, sentiment extraction text make scrapers using selenium, bs, scrapy ",9,6,5000.0
7,8,Data Analytics,Parliamentary Business,Delhi,5000,Selected intern's day-to-day responsibilities include collecting data from other websites and maintaining them into database software.,selected intern's day-to-day responsibilities include collecting data websites maintaining database software. ,10,2,5000.0
8,9,Business Strategy & Analytics,RedCarpetUp,Work From Home,20000-25000,"As a business strategy and analytics intern, you will work with a team that is charged with linking technology to the business goal. This extends from increasing the profitability of existing product features to developing new features for our fintech product. 
 
 Selected intern's day-to-day responsibilities include:
 
 1. Work with senior executives to drive important strategy decisions
 2. Work with an engineering and data science counterpart
 3. Think of business problems and write code to analyze it
 4. Make sense out of raw data in databases","business strategy analytics intern, work team charged linking technology business goal. extends increasing profitability existing product features developing new features fintech product. work senior executives drive important strategy decisions work engineering data science counterpart think business problems write code analyze make sense raw data databases ",14,3,22500.0
9,10,Machine Learning (AutoEncoder & Gans),Naaniz,Work From Home,1000,"Our company is working with a lot of online restaurant partners. We need the intern to take relevant information while the order is progressed and segregate data into the various fields and send relevant SMS to the customer to grow the sale.
 
 Selected intern's day-to-day responsibilities include: 
 
 1. Implementing machine learning models for our new project
 2. Working with our core concept and taking it to the next level",company working lot online restaurant partners. need intern take relevant information order progressed segregate data various fields send relevant sms customer grow sale. implementing machine learning models new project working core concept taking next level ,6,1,1000.0
10,11,Mobile App Development,PractoMind Solutions,Work From Home,2000,"Selected intern's day-to-day responsibilities include: 
 
 1. Work on Android application development and handling some applications
 2. Work on optimization
 3. Handle machine learning language training",work android application development handling applications work optimization handle machine learning language training ,11,6,2000.0
11,12,Machine Learning,Codersarts,Gurgaon,10000,"Selected intern's day-to-day responsibilities include: 
 
 1. Designing and implementing machine learning, information extraction, probabilistic matching algorithms and models
 2. Using your passion for programming and deep learning/AI skills using Python, TensorFlow and deep learning frameworks like Keras, PyTorch - to solve real-life problems
 3. Developing AI solutions in the computer vision domain using convolutional neural networks (CNN) and a combination of deep neural networks such as CNN & RNN
 4. Solving object detection, recognition, image classification problems using machine learning and deep learning algorithms & transfer learning methods and techniques
 5. Using innovative & automated approaches for data annotation, labeling, and data augmentation & use active learning.
 6. Handling online code assistance, code mentoring, and education-based solutions","designing implementing machine learning, information extraction, probabilistic matching algorithms models using passion programming deep learning/ai skills using python, tensorflow deep learning frameworks like keras, pytorch - solve real-life problems developing ai solutions computer vision domain using convolutional neural networks (cnand combination deep neural networks cnn & rnn solving object detection, recognition, image classification problems using machine learning deep learning algorithms & transfer learning methods techniques using innovative & automated approaches data annotation, labeling, data augmentation & use active learning. handling online code assistance, code mentoring, education-based solutions ",0,6,10000.0
12,13,Data Analytics,SagasIT Analytics,Work From Home,18000,"Selected intern's day-to-day responsibilities include: 
 
 1. Work on live customer projects using one or more of Python, R, Tableau, and Power BI. This includes data engineering, data science and data visualization
 2. Demonstrate an ability to understand and appreciate data 
 3. Understand the domain that the customer operates in
 4. Handle any other work that is necessary for the project/organization including learning other visualization tools","work live customer projects using one python, r, tableau, power bthis includes data engineering, data science data visualization demonstrate ability understand appreciate data understand domain customer operates handle work necessary project/organization including learning visualization tools ",12,3,18000.0
13,14,Data Science,Blackcoffer,Work From Home,3000-8000,"Selected intern's day-to-day responsibilities include:
 
 1. Work on data technologies, data mining, data transformation, and data analysis 
 2. Develop data models on Python, web scrapers, crawler, parser, etc. to solve big data problems
 3. Develop data technologies like web crawlers, parser, and scrapers to solve the toughest problem of the world
 4. Work on sentiment analysis, data scraping, parsing, and web mining 
 5. Work on ELT, ETL, data integration, data lake management, and analysis","work data technologies, data mining, data transformation, data analysis develop data models python, web scrapers, crawler, parser, etc. solve big data problems develop data technologies like web crawlers, parser, scrapers solve toughest problem world work sentiment analysis, data scraping, parsing, web mining work elt, etl, data integration, data lake management, analysis ",7,4,5500.0
14,15,Data Analytics,Prashaste Education And Management Consultancy Private Limited,Hyderabad,12000-15000,"Selected intern's day-to-day responsibilities include:
 
 1. Work on executing multiple client engagements as part of a team
 2. Work on managing and analyzing large datasets and generate business insights
 3. Build expertise in various client offerings across multiple sectors
 4. Work on contributing to the internal learning and mentorship programs
 5. Work on generating MIS, analytics and trackers for income
 6. Work on outstanding, collection, payments, reconciliation of reimbursements received and paid, raising of invoices and follow up with clients for payments, reconciliation of claims/invoices of vendors, associates and employees","work executing multiple client engagements part team work managing analyzing large datasets generate business insights build expertise various client offerings across multiple sectors work contributing internal learning mentorship programs work generating mis, analytics trackers income work outstanding, collection, payments, reconciliation reimbursements received paid, raising invoices follow clients payments, reconciliation claims/invoices vendors, associates employees ",6,3,13500.0
15,16,Software Development & Data Anlaytics,iTech Mission Private Limited,Delhi,10000-10001,"Selected intern's day-to-day responsibilities include: 
 
 1. Design and develop open-source applications with smart algorithms to manage development databases 
 2. Working on Javascript, JQeyry, D3.js and other advance data visualizations tools
 3. Learn and work on MVC frameworks - Laravel, Express.js, Vue.js
 4. Use SQL and No-SQL languages
 5. Create APIs, data binding","design develop open-source applications smart algorithms manage development databases working javascript, jqeyry, d3.js advance data visualizations tools learn work mvc frameworks - laravel, express.js, vue.js use sql no-sql languages create apis, data binding ",7,7,10000.5
16,17,Data Analysis (Advance Excel),Tarezameenfoundation,Work From Home,0,"Selected intern's day-to-day responsibilities include: 
 
 1. Keep good documentation practice and follows the compliance guidelines
 2. Develop and implement training materials and job aids for responsible areas
 3. Develop and present educational master data topics to the business
 4. Develop and present ideas to cross-functional teams and varying levels within the organization
 5. Participate and lead some activities in problem-solving and continuous improvement projects
 6. Lead master data activities for small to medium scale projects
 7. Support master data activities for large scale projects
 8. Demonstrate ability to coach peers on processes
 9. Perform regularly scheduled or one-off audits
 10. Demonstrate accurate decision-making skills
 11. Perform testing in the quality environment of ERP/CRM system prior to execution in production
 12. Work in multiple systems to audit data and execute required updates
 13. Analyze mass data effectively and efficiently
 14. Form conclusions from data analysis
 15. Communicate effectively simple solutions for business inquiries regarding area
 16. Process requests in a timely manner according to defined standards, controls, or metrics","keep good documentation practice follows compliance guidelines develop implement training materials job aids responsible areas develop present educational master data topics business develop present ideas cross-functional teams varying levels within organization participate lead activities problem-solving continuous improvement projects lead master data activities small medium scale projects support master data activities large scale projects demonstrate ability coach peers processes perform regularly scheduled one-off audits 1demonstrate accurate decision-making skills 1perform testing quality environment erp/crm system prior execution production 1work multiple systems audit data execute required updates 1analyze mass data effectively efficiently 1form conclusions data analysis 1communicate effectively simple solutions business inquiries regarding area 1process requests timely manner according defined standards, controls, metrics ",6,3,7680.98773006135
17,18,Data Research Analytics,Nirvana Solutions India Private Limited,Work From Home,18000,"Selected intern's day-to-day responsibilities include: 
 
 1. Working on excel sheets
 3. Interacting with US clients 
 4. Working on data analytics",working excel sheets interacting us clients working data analytics ,7,7,18000.0
18,19,Embedded Systems and IoT,iobot Technologies Private Limited,Pune,5000-8000,"Selected intern's day-to-day responsibilities include: 
 
 1. Work on embedded firmware development in C/C++
 2. Understand and architecture right solution for the problem
 3. Work on Arduino/ESP32/STM32 firmware development
 4. Document all the activities of the firmware development",work embedded firmware development c/c++ understand architecture right solution problem work arduino/esp32/stm32 firmware development document activities firmware development ,11,3,6500.0
19,20,Business Analytics,UniConverge Technologies Private Limited,Noida,2000,"Selected intern's day-to-day responsibilities include:
 
 1. Work on understanding and analysis of company's business
 2. Suggest new strategies to capture market post covid 19 situations
 3. Study of competitors strategy
 4. Talk to various clients to validate strategy",work understanding analysis company's business suggest new strategies capture market post covid 19 situations study competitors strategy talk various clients validate strategy ,6,5,2000.0
20,21,Machine Learning,Stir Research,Work From Home,1000,"Selected intern's day-to-day responsibilities include: 
 
 1. Working on carrying out regression modelling (multiple regression, decision trees) on the given dataset
 2. Working on a convolutional neural network for the given dataset
 3. Working on preparing a thorough report","working carrying regression modelling (multiple regression, decision treeon given dataset working convolutional neural network given dataset working preparing thorough report ",7,7,1000.0
21,22,Data Science,BoredProgrammers Private Limited,Work From Home,1000-6000,"Selected intern's day-to-day responsibilities include: 
 
 1. Serve your clients as needed, solve the problems
 2. Teach online for workshops and training","serve clients needed, solve problems teach online workshops training ",15,5,3500.0
22,23,Machine Learning,COGAI Solutions Private Limited,Work From Home,8000-12000,"Selected intern's day-to-day responsibilities include: 
 
 1. Building LSTM/BERT/CNN models using Tensorflow/PyTorch
 2. Building the data pipeline using the Spark/MongoDB 
 3. Being able to deploy the models in the QA environment
 4. Working with the FrontEnd developers in integrating your APIs",building lstm/bert/cnn models using tensorflow/pytorch building data pipeline using spark/mongodb able deploy models qa environment working frontend developers integrating apis ,0,6,10000.0
23,24,Business Analytics,IODevOps Services Incorporated,Work From Home,5000,"Selected intern's day-to-day responsibilities include: 
 
 1. Participate in interviewing clients in order to identify and validate business needs and requirements 
 2. Participate in requirements workshops to identify business needs and requirements 
 3. Document current business processes, rules, etc.
 4. Understand client requirements
 5. Assess business requirements and prepare FSD, BSD","participate interviewing clients order identify validate business needs requirements participate requirements workshops identify business needs requirements document current business processes, rules, etc. understand client requirements assess business requirements prepare fsd, bsd ",17,5,5000.0
24,25,Machine Learning,TikiLIVE,Work From Home,12000,"Selected intern's day-to-day responsibilities include: 
 1. Running machine learning tests and experiments
 2. Implementing appropriate ML algorithms
 3. Working in a team to come up with quick and best solutions",running machine learning tests experiments implementing appropriate ml algorithms working team come quick best solutions ,1,6,12000.0
25,26,Data Analytics-Product And Growth,Farmley,Work From Home,15000,"Selected intern's day-to-day responsibilities include: 
 
 1. Reaching out to early users over social media platforms and offline events for gathering product learnings and feedback
 2. Ideating growth hacks to engage the community users and expanding the communities
 3. Working with the founding team to help them make the initial launch mega hit",reaching early users social media platforms offline events gathering product learnings feedback ideating growth hacks engage community users expanding communities working founding team help make initial launch mega hit ,6,1,15000.0
26,27,Data Science,Promize IT Services Private Limited,Work From Home,5000,Selected intern's day-to-day responsibilities include working on real-time project tasks to get real-time project exposure.,selected intern's day-to-day responsibilities include working real-time project tasks get real-time project exposure. ,10,2,5000.0
27,28,Financial Analytics,Iris Business Services Limited,Mumbai,10000-15000,"Selected intern's day-to-day responsibilities include:
 
 1. Work on tagging of financial statements
 2. Work on report generation",work tagging financial statements work report generation ,6,3,12500.0
28,29,Data Science,Kashware,Work From Home,15000-25000,"Selected intern's day-to-day responsibilities include: 
 
 1. Work with stakeholders throughout the organization to identify opportunities for leveraging company data to drive business solutions
 2. Assess the effectiveness and accuracy of new data sources and data gathering techniques
 3. Extract, harmonize, clean and merge data from different data sources for further use
 4. Develop custom data models and algorithms to apply to data sets
 5. Build machine learning solutions to drive optimization and improvement in product and business strategies
 6. Develop processes and tools to monitor and analyze model performance and data accuracy","work stakeholders throughout organization identify opportunities leveraging company data drive business solutions assess effectiveness accuracy new data sources data gathering techniques extract, harmonize, clean merge data different data sources use develop custom data models algorithms apply data sets build machine learning solutions drive optimization improvement product business strategies develop processes tools monitor analyze model performance data accuracy ",8,4,20000.0
29,30,Subject Matter Expert (Data Science),MyMegaminds,Work From Home,10000-15000,"Selected intern's day-to-day responsibilities include: 
 
 1. Working on creating new projects for students on our platform based on Data Science helping them understand concepts, and polishing their skills
 2. Working on solving doubts of the students related to Data Science over emails","working creating new projects students platform based data science helping understand concepts, polishing skills working solving doubts students related data science emails ",7,7,12500.0
30,31,Machine Learning (AI for Augmented Reality),Highavenue,Work From Home,10000,"Selected intern's day-to-day responsibilities include: 
 
 1. Working on video processing & 3D object detection algorithms
 2. Working on a system that can be integrated into the Unity 3D engine
 3. Collecting data related to our physical world",working video processing & 3d object detection algorithms working system integrated unity 3d engine collecting data related physical world ,7,6,10000.0
31,32,Define Automation Workflow,Radar Services LLC,Work From Home,10000,"Selected intern's day-to-day responsibilities include: 
 
 1. Creating process workflow for advanced simulation services like Finite element analysis', 'Fracture analysis' etc. 
 2. Evaluating various services vendors to establish a quality score for the vendors. 
 3. Creating demo analysis problems for such simulation services","creating process workflow advanced simulation services like finite element analysis', 'fracture analysis' etc. evaluating various services vendors establish quality score vendors. creating demo analysis problems simulation services ",15,5,10000.0
32,33,Data Science,FlexiEle,Work From Home,15000,"Selected intern's day-to-day responsibilities include working on a data science project where we need to extract meaningful information from structured or unstructured data.
 
 Based on the raw data, we need to:
 
 1. Design and implement Data frames for our BI application (business intelligence)
 2. Generate meaningful dashboard using Pandas and Plotly
 3. Define Dimensions, Facts, and Measures from the raw data
 4. Allow users to slice and dice data in different dimensions dynamically
 
 Skills: Candidates have to be very good at Python, Pandas, Numpy, and Plotly.js for data visualizations.","selected intern's day-to-day responsibilities include working data science project need extract meaningful information structured unstructured data. based raw data, need to: design implement data frames bi application (business intelligencgenerate meaningful dashboard using pandas plotly define dimensions, facts, measures raw data allow users slice dice data different dimensions dynamically skills: candidates good python, pandas, numpy, plotly.js data visualizations. ",4,7,15000.0
33,34,Online Teaching (Machine Learning & Artificial Intelligence),iCodeiCreate,Work From Home,10000,Selected intern's day-to-day responsibilities include teaching machine learning and artificial intelligence using Python to school students.,selected intern's day-to-day responsibilities include teaching machine learning artificial intelligence using python school students. ,10,2,10000.0
34,35,Online Teaching (Python & Data Science),iCodeiCreate,Work From Home,10000,Selected intern's day-to-day responsibilities include teaching Python and data science to school students.,selected intern's day-to-day responsibilities include teaching python data science school students. ,10,2,10000.0
35,36,Business Analytics,Arzooo,Bangalore,15000,"Selected intern's day-to-day responsibilities include interpreting data from different sources, analyze data, and communicate how to apply findings to the business models and needs for the company. 
 
 Your interpretation of the data will require interaction with other teams to understand what the sources of data are, how this data might affect the business and its processes, and what problems are being solved by drawing conclusions from the data that has been collected.
 
 Requirements:
 
 1. Attention to detail and accuracy while solving all assigned inquiries
 2. Good with small as well as large data sets
 3. Proficiency in MS-Excel, Data Analytics, Power BI/Tableau
 4. Ability to relate to clients and various types of users to learn new business processes
 5. Ability to provide process and automation improvements
 6. E-commerce industry knowledge will have an edge
 7. Assist in resolving business issues using systems and data
 8. Perform research and analysis in support of operations
 9. Analyze business goals, objectives, and needs","selected intern's day-to-day responsibilities include interpreting data different sources, analyze data, communicate apply findings business models needs company. interpretation data require interaction teams understand sources data are, data might affect business processes, problems solved drawing conclusions data collected. requirements: attention detail accuracy solving assigned inquiries good small well large data sets proficiency ms-excel, data analytics, power bi/tableau ability relate clients various types users learn new business processes ability provide process automation improvements e-commerce industry knowledge edge assist resolving business issues using systems data perform research analysis support operations analyze business goals, objectives, needs ",14,5,15000.0
36,37,Data Science,LocoBuzz,Work From Home,4000,"Selected intern's day-to-day responsibilities include:
 
 1. Working on machine learning, especially NLP information retrieval, etc.
 2. Working with popular data science frameworks- Python, Jupyter, sklearn, NLTK, (XGBoost, and Keras are good to have).
 3. Implementing ready background in deep learning techniques like word embeddings, CNN, RNN/LSTM, etc.
 4. Productionizing machine learning solutions, especially ML-powered web-apps/BOTs
 5. Understanding back-end concepts, and databases (SQL, Postgres, NoSQL, etc.)
 6. Working with different Machine learning/deep learning projects
 7. Working with structured and unstructured data
 8. Working with data structures and algorithms and in a Unix environment and building robust data processing system","working machine learning, especially nlp information retrieval, etc. working popular data science frameworks- python, jupyter, sklearn, nltk, (xgboost, keras good have). implementing ready background deep learning techniques like word embeddings, cnn, rnn/lstm, etc. productionizing machine learning solutions, especially ml-powered web-apps/bots understanding back-end concepts, databases (sql, postgres, nosql, etc.) working different machine learning/deep learning projects working structured unstructured data working data structures algorithms unix environment building robust data processing system ",0,7,4000.0
37,38,Data Analytics,Connect And Heal,Mumbai,18000-21000,"Selected intern's day-to-day responsibilities include: 
 
 1. Making MS-Excel based reporting for management and clients
 2. Assisting the finance teams with data MIS requirements
 3. Acting as an internal process engineer to improve the overall efficiency of various divisions
 4. Assisting in creating power point proposals for corporate clients",making ms-excel based reporting management clients assisting finance teams data mis requirements acting internal process engineer improve overall efficiency various divisions assisting creating power point proposals corporate clients ,15,5,19500.0
