,Unnamed: 0,job_title,company_name,description,ClusterLabel_Aff_Prop,ClusterLabel_kmeans
0,1,"Data Scientist, Analytics, BI Engineer",RAACOM Infosystems,"['spark', 'title', 'large', 'intelligence', 'jobscompany', 'similar', 'experience', 'cloud', 'salaries', 'save', 'visualizations', 'consultant', 'one', 'knowledge', 'cover', 'professionals', 'initiatives', 'expertise', 'problem', 'codefind', 'visualization', 'engineerraacom', 'platform', 'state', 'mining', 'hyderabad', 'need', 'seeking', 'advicebrowse', 'indeedprivacy', 'identified', 'practices', 'infosystems', 'on.', 'telanganajobs', 'building', 'bi', 'thig', 'tools', 'role', 'uplift', 'jobsbrowse', 'sas', 'technologies', 'indeedabouthelp', 'stat', 'delivery', 'privacy', 'mathematics', 'team', 'whatjob', 'r', 'recommendations', 'opportunities', 'products', 'original', 'jobdata', 'preferableraacom', 'development', 'healthcare', 'applied', 'deliver', 'quality', 'solutions', 'proven', 'termslet', 'aws', 'education', 'analytics', 'eventswork', 'problems', 'ago', 'members', 'take', 'predictive', 'functional', 'methodologies', 'working', 'find', 'groom', 'bayesian', 'lead', 'jobapply', 'updates', 'identify', 'trees', 'jobs', 'solving', 'innovative', 'business', 'jobsadvanced', 'infofollowget', 'participation', 'implement', 'google', 'scientist', 'nowapply', 'meet', 'resume', 'miss.', 'governance', 'opportunity', 'indeed.com', 'influence', 'banking', 'sql', 'employers', 'use', 'dec', 'keywords', 'salariespost', 'join', 'function', 'info', 'modeling', 'come', 'ml', 'cannot', 'cases', 'qlik', 'companywherecity', 'decision', 'collection', 'microsoft', 'data', 'different', 'reviewsfind', 'strong', '3', 'field', 'center', 'edge', 'azure', 'post', 'company', 'centercookies', 'powerbi', 'science', 'non', 'jobshare', 'key', 'stakeholders', 'developing', 'job', 'filtration', 'engineers', 'successful', 'requirements', 'resumesign', 'time', 'sitesave', 'demonstrated', 'sets', 'using', 'machine', 'data.if', 'across', 'finance', 'youupload', 'infosystemscareer', 'tableau', 'regression', '+', 'jobis', 'databricks', 'models', 'telanganacompany', 'flash', 'engineer', 'telanganadata', 'seasoned', 'cutting', 'systems', 'learning', 'companiessalariesindeed', 'suite', 'python', 'capable', 'series', 'based', 'retail', 'complex', 'pin', 'technical', 'statistical', 'assemble', 'raacom', 'filtering', 'days', 'inemployers', 'telangana', 'searchdata', 'statistics', 'exposure', 'deep', 'strategically', 'keen', 'background', 'andartificial']",-1,2
1,2,Data Scientist,Amazon Dev Center India - Hyd,"['spark', 'title', 'world', 'large', 'intelligence', 'jobscompany', 'similar', 'experience', 'apply', 'design', 'anything', 'get', 'salaries', 'hydamazon', 'save', 'competitor', 'application', 'knowledge', 'expertise', 'problem', 'equivalent', 'rather', 'codefind', 'state', 'mining', 'computer', 'org', 'hyderabad', 'applying', 'amazon', 'passion', 'structured', 'related', 'advicebrowse', 'indeedprivacy', 'warehousing', 'concepts', 'engineers.', 'online.', 'high', 'exciting', 'transformation', 'ex...career', 'learn', 'offering', 'telanganajobs', 'problems3+', 'building', 'extremely', 'here.', 'econometric', 'big', 'fast', 'tools', 'invention', 'role', 'jobsbrowse', 'tensorflowbachelors', 'sas', 'years', 'indeedabouthelp', 'hadoop', 'enterprise', 'automation', 'payroll', 'performance', 'privacy', 'member', 'infrastructure', 'obsession', 'rdbms', 'team', 'analytical', 'whatjob', 'saying', 'r', 'best', 'elasticsearch', 'highly', 'close', 'increase', 'dev', 'telanganaamazon', 'scale', 'practices.experience', 'original', 'jobdata', 'scale.', 'development', 'holders', 'leaders.', 'available', 'finauto', 'solutions', 'termslet', 'servicesability', 'earth', 'cash', 'techniques', 'aws', 'system', 'methods', 'analytics', 'eventswork', 'problems', 'maintain', 'ago', 'part', 'consists', 'defects.', 'working', 'find', 'paced', 'solutions.implement', 'principles', 'jobapply', 'updates', 'environment', 'jobs', 'customer', 'distributed', 'guided', 'business', 'jobsadvanced', 'infofollowget', 'hyd', 'closely', 'focuses', 'implement', 'massive', 'scalability', 'scientist', 'payment', 'nowapply', 'resume', 'integrate', 'scientistamazon', 'disciplinesadvanced', 'environment.', 'expense', 'phd', 'numerical', 'indeed.com', 'reviewsamazon', 'sql', 'stake', 'employers', 'partner', 'communicate', 'software', 'reviewsread', 'processing', 'senior', 'commitment', 'keywords', 'salariespost', 'technologies3+', 'semi', 'degree', 'modeling', 'coordination', 'free', 'people', 'companywherecity', 'minds', 'reporting', 'data', 'extraction', 'analysis', 'reviewsfind', '3', 'field', 'center', 'architecture', 'operational', 'focus', 'post', 'company', 'strives', 'solve', 'designed', 'enable', 'engineering', 'centercookies', 'science', 'businesses', 'spend', 'developing', 'job', 'centric', 'engineers', 'resumesign', 'sitesave', 'interesting', 'buy', 'using', 'scikit', 'machine', 'finance', 'youupload', 'optimizing', 'accuracy', 'masters', 'solution', 'java', 'plusdeep', '+', 'jobis', 'major', 'telanganacompany', 'india', 'brightest', 'experience.', 'four', 'performed', 'telanganadata', 'systems', 'learning', 'applications', 'companiessalariesindeed', 'python3+', 'want', 'sophisticated', 'hybrid', 'levels', 'complex', 'pin', 'technical', 'organizationamazon.com', 'statistical', 'technologically', 'data.design', 'days', 'inemployers', 'flow', 'telangana', 'searchdata', 'friendly', 'discover', 'hire', 'work', 'statistics', 'volume', 'reviews', 'teams']",-1,0
2,3,Machine Learning Engineer,WAVELABS TECHNOLOGIES,"['classification', 'title', 'reinvent', 'ourselves.', 'intelligence', 'training', 'jobscompany', 'design', 'experience', 'hand', 'looking', 'c++', 'systems.', 'age', 'salaries', 'rethink', 'transfer', 'cnn', 'save', 'knowledge', 'object', 'depth', 'technique', 'experiences.', 'problem', 'codefind', 'community', 'state', 'hyderabad', 'art', 'flagship', 'drive', 'ai', 'docker', 'platforms', 'advicebrowse', 'indeedprivacy', 'things', 'technology', 'computing', 'telanganajobs', 'building', 'tensorflow', 'jobsbrowse', 'yolo', 'dnn', 'optimization', 'importantly', 'technologies', 'pytorch', 'networks', 'indeedabouthelp', 'fasterrcnn', 'new', 'privacy', 'technologiescareer', 'best', 'whatjob', 'industry', 'digital', 'popular', 'network', 'bring.', 'original', 'products', 'true', 'etc.', 'intend', 'deliver', 'models.', 'jobmachine', 'solutions', 'adapting', 'termslet', 'outcomes', 'aws', 'maskrcnn', 'methods', 'analytics', 'eventswork', 'build', 'ago', 'telanganamachine', 'artificial', 'neural', 'find', 'wavelabs', 'convolutional', 'jobapply', 'updates', 'matter', 'customer', 'distributed', 'insights', 'business', 'detection', 'jobsadvanced', 'jobs', 'infofollowget', 'beyond', 'resnet', 'nowapply', 'keras', 'dl', 'resume', 'existing', 'searchmachine', 'unet', 'indeed.com', 'employers', 'mlopswavelabs', 'gcp', 'inception', 'keywords', 'salariespost', 'execution.', 'ml', 'companywherecity', 'data', 'components.', 'reviewsfind', 'become', 'center', 'edge', 'pruning', 'azure', 'focus', 'post', 'change', 'company', 'innovation', 'centercookies', 'evolution', 'all.', 'era.', 'us', 'inevitable', 'job', 'are.', 'rcnn', 'requirements', 'resumesign', 'sitesave', 'segmentation', 'you.', 'engineerwavelabs', '.', 'disruption.', 'using', 'advances', 'machine', 'leverage', 'loved', 'youupload', 'share', 'jobis', 'leveraging', 'models', 'telanganacompany', 'go', 'experience.', 'engineer', 'telanganawavelabs', 'deployment', 'help', 'cutting', 'understanding', 'learning', 'companiessalariesindeed', 'python', 'enabler', 'pin', 'first', 'fundamental', 'days', 'inemployers', 'telangana', 'beautiful', 'preferred', 'cognitive', 'deep', 'segnet', 'familiarity', 'agile']",-1,0
3,4,Sr. Clinical Data Analyst,Makrocare,"['planning', 'title', 'device', 'excellent', 'jobscompany', 'experience', 'design', 'final', 'salaries', 'phases', 'interim', 'save', 'proficiency', 'covers', 'testing.', 'electronic', 'specific', 'problem', 'www.makrocare.com', 'submission.', 'codefind', 'state', 'hyderabad', 'report', 'develop', 'deliverables', 'sr.', 'advicebrowse', 'testing', 'indeedprivacy', 'high', 'management.', 'industry.', 'clean', 'telanganajobs', 'pharmaceutical', 'acts', 'filling', 'programs', 'jobsbrowse', 'indeedabouthelp', 'conduct', 'perform', 'new', 'privacy', 'scientific', 'strategy', 'team', 'whatjob', 'saying', 'research', 'required', 'data.', 'leading', 'original', 'telanganasenior', 'medical', 'development', 'outstanding', 'guidelines', 'coding', 'autonomy.', 'bring', 'management', 'queries', 'handle', 'areas.', 'form', 'termslet', 'point', 'region', 'expansion.', 'studies.', 'dm', 'system', 'projects', 'eventswork', 'relevant', 'analyst', 'ago', 'industries.', 'take', 'members', 'lifescience', 'edit', 'safety', 'clients', 'e.g.', 'biotechnology', 'working', 'find', 'ruling', 'lead', 'jobapply', 'updates', 'tasks.', 'jobs', 'jobsadvanced', 'main', 'contact', 'action.', 'crfs', 'infofollowget', 'strategic', 'tasks', 'nowapply', 'resume', 'ranging', 'meet', 'support', 'groups', 'identifying', 'opportunity', 'indeed.com', 'project', 'local', 'guide', 'employers', 'partner', 'emerging', 'description', 'reviewsread', 'clinical', 'keywords', 'salariespost', 'train', 'searchsr.', 'activities', 'degree', 'universal', 'reconciliation', 'people', 'vendors', 'spectrum', 'therapeutic', 'companywherecity', 'selected', 'uat', 'reporting', 'data', 'notify', 'processes', 'reviewsfind', '3', 'here.makrocare', 'makrocare', 'services', 'validation', 'protocol', 'center', 'party', 'responsibility', 'individual', 'possible', 'post', 'send', 'telanganamakrocare', 'company', 'centercookies', 'dimension', 'international', 'issues', 'qc', 'document.', 'handling', 'jobsenior', 'job', 'basis.makrocare', 'analystmakrocare', 'risk', 'requirements', 'deviations', 'tracking', 'resumesign', 'sitesave', 'checks', 'query', 'database', 'across', 'reviewscareer', 'youupload', 'provides', 'ecrf', 'regulatory', 'ongoing', 'jobis', 'cda', 'documents.', 'lock', 'commercialization', 'instructions.', 'telanganacompany', 'case', 'third', 'ability', 'saes', 'assume', 'expert', 'activities.', 'lines', 'full', 'violations.', 'companiessalariesindeed', 'sae', 'screen', 'pin', 'plan', 'days', 'inemployers', 'global', 'telangana', 'work', 'liaise', 'update', '3rd', 'reviews', 'projects.']",-1,0
4,5,Data Analyst,GE Appliances,"['title', 'made', 'excellent', 'amounts', 'status', 'jobscompany', 'primary', 'experience', 'understand', 'presentation', 'employer.', 'without', 'qualificationhands', 'age', 'salaries', 'employment', 'save', 'effectively', 'religion', 'timelines', 'interpret', 'designs', 'needs', 'acquire', 'knowledge', 'application', 'mysql', 'eg', 'problem', 'validating', 'codefind', 'visualization', 'state', 'options.', 'within', 'computer', 'solid', 'hyderabad', 'convert', 'sal', 'passion', 'analysts', 'develop', 'need', 'related', 'hands', 'color', 'organize', 'must.', 'advicebrowse', 'location', 'indeedprivacy', 'posting', 'value', 'viya', 'tight', 'high', 'scientists', 'importing', 'technology', 'impact', 'telanganajobs', 'conclusions', 'acquisition', 'bi', 'creating', 'tools', 'oracle', 'role', 'jobsbrowse', 'informatica', 'sas', 'disseminate', 'delivers', 'years', 'technologies', 'perform', 'hvr', 'excel', 'sexual', 'indeedabouthelp', 'cleansing', 'shell', 'privacy', 'verbal', 'vertica', 'xml', 'sets.', 'team', 'analytical', 'whatjob', 'saying', 'r', 'popular', 'highly', 'independently', 'making', 'expression', 'data.', 'original', 'power', 'results', 'etc.', 'jobdata', 'code', 'programming', 'databases', 'priorities', 'make', 'customers', 'deliver', 'etl', 'quality', 'reports', 'solutions', 'proven', 'termslet', 'attention', 'techniques', 'aws', 'projects', 'process', 'integration', 'gender', 'eventswork', 'manage', 'analyst', 'maintain', 'succeedbachelors', 'relevant', 'ago', 'patterns', 'members', 'needs.', 'working', 'find', 'sex', 'jobapply', 'drives', 'analyze', 'updates', 'environment', 'identify', 'server', 'demonstrate', 'solving', 'jobs', 'business', 'jobsadvanced', 'regard', 'javascript', 'infofollowget', 'appliances', 'organizational', 'frameworks', 'nowapply', 'well', 'resume', 'minimum', 'values', 'opportunity', 'indeed.com', 'project', 'transforming', 'sql', 'identity', 'employers', 'reviewsread', 'protected', 'current', 'keywords', 'salariespost', 'basic', 'quick', 'written', 'come', 'degree', 'people', 'telanganage', 'performing', 'companywherecity', 'doengages', 'reporting', 'national', 'data', 'analysis', 'different', 'reviewsfind', 'strong', 'packages', 'field', 'purpose', 'origin', 'center', 'individual', 'model', 'etc', 'post', 'characteristics', 'company', 'scripting', 'centercookies', 'informatica.', 'science', 'obiee', 'analystge', 'equal', 'able', 'job', 'decisions', 'veteran', 'requirements', 'resumesign', 'sitesave', 'collect', 'derive', 'communication', 'demonstrated', 'postgress', 'player', 'using', 'trends', 'secondary', 'reviewscareer', 'youupload', 'accuracy', 'tableau', 'significant', 'solution', 'sources', '+', 'ongoing', 'jobis', 'kpis', 'telanganacompany', 'span', 'ethnic', 'disability', 'datasets', 'race', 'ability', 'produce', 'provide', 'information', 'detail', 'least', 'sftp', 'understanding', 'telanganadata', 'commands', 'analyzing', 'systems', 'companiessalariesindeed', 'dynamic', 'python', 'prototypes', 'unix', 'short', 'outputs', 'complex', 'pin', 'technical', 'challenge', 'statistical', 'orientation', 'even', 'law.ge', 'days', 'inemployers', 'global', 'telangana', 'searchdata', 'work', 'statistics', 'align', 'ge', 'responsible', 'reviews', 'skills', 'here.job']",-1,0
5,6,SCON - Data Scientist - Science of Winning - Pursuit - Hyderabad,Deloitte,"['english', 'honest', 'term', 'salaries', 'telanganadeloitte', 'other.', 'one', 'level', 'professionals', 'specific', 'false', 'problem', 'uk', 'source', 'report', 'structured', 'liability', 'sr', 'strengths', 'requisition', 'implements', 'please', 'junior', 'extension', 'challenges', 'fast', 'countries', 'pursuit', 'program', 'partners', 'elastic', 'practice', 'indeedabouthelp', 'new', 'privacy', 'clients.', 'document', 'curiosity', 'whatjob', 'r', 'admired', 'used', 'interpersonal', 'leading', 'opportunities', 'order', 'programming', 'touche', 'represent', 'plus.', 'lab', 'management', 'neuroscience', 'participate', 'successes', 'analytics', 'candidates', 'connected', 'qualification', 'career', 'competencies', 'members', 'existence', 'constantly', 'developers', 'rdf', 'paced', 'discretion', 'environment', 'risk.', 'matter', 'insights', 'business', 'closely', 'receive', 'scientist', 'defined', 'existing', 'consultings', 'bricks', 'project', 'reviewsread', 'processing', 'commitment', 'current', 'salariespost', 'people', 'cannot', 'selected', 'analysis', 'reviewsfind', 'services', 'nature', 'strong', 'party', 'azure', 'timely', 'consumer', 'etc', 'innovation', 'change', 'powerpoint', 'commitments.', 'automated', 'solr', 'completion', 'us', 'exercise', 'algorithm', 'resumesign', 'collect', 'communication', 'consulting', 'factors', 'departments', 'dttl.', 'position', 'masters', 'java', 'pay', 'india', 'apache', 'gate', 'ethics', 'accordance', 'good', 'caution.', 'ability', 'jobseekers', 'unauthorised', 'learning', 'companiessalariesindeed', 'world.', 'regulations', 'pin', 'technical', 'professional', 'liable', 'effectiveness.', 'self', 'inemployers', 'work', 'statistics', 'service', 'ee', 'opennlp', 'classification', 'made', 'experience', 'strategy.', 'fraudulent', 'looking', 'searchscon', 'permitted', 'types', 'makes', 'money', 'knowledge', 'execution', 'codefind', 'indices', 'mining', '...career', 'specified', 'ltd.', 'cornerstone', 'passion', 'advicebrowse', 'fulfill', 'many', 'management.', 'interrogate', 'winning', 'dttl', 'solutions.', 'minimal', 'text', 'inclusivity', 'libraries', 'applicants.', 'transformative', 'since', 'years', 'technologies', 'country', 'preferred.', 'market', 'separate', 'wins', 'efforts', 'analytical', 'operates.', 'industry', 'increase', 'original', 'jobdata', 'make', 'bachelors', 'deliver', 'entirely', 'laws', 'solutions', 'deloittedeloitte', 'queries', 'driving', 'techniques', 'states', 'staying', 'bribes', 'plus', 'person', 'accounts', 'take', 'tax', 'sure', 'transparency', 'uima', 'search', 'language', 'improvement', 'responsibilities', 'hyderabad.', 'believe', 'resume', 'anyone', 'provision', 'according', 'description', 'stored', 'keywords', 'function', 'info', 'degree', 'written', 'modeling', 'cases', 'corruption', 'field', 'center', 'environments.', 'differently', 'post', 'send', 'individuals', 'ms', 'due', 'writers', 'semantic', 'analysts.', 'key', 'equal', 'potential', 'modeling.', 'eligible', 'consistently', 'demonstrated', 'behalf', '.', 'options', 'finance', 'grow', 'may', 'provide', 'telanganadata', 'selection', 'sowdeloitte', 'include', 'fundamental', 'statistical', 'independent', 'tohmatsu', 'personally', 'reviewsdeloitte', 'accept', 'way.', 'telangana', 'affiliates', 'background', 'familiarity', 'tens', 'deloitte.com', 'title', 'u.s', 'audit', 'supports', 'llpdeloitte', 'save', 'needs', 'provided', 'appear', 'select', 'munging', 'critical.', 'behalf.', 'deloitte', 'actual', 'middle', 'mallet', 'integrity', 'develop', 'note', 'designers', 'ensure', 'permit', 'telanganajobs', 'big', 'acts', 'tools', 'jobsbrowse', 'usa', 'neither', 'particular', 'pe', 'worlds', 'merit', 'brands', 'saying', 'supporting', 'serving', 'way', 'highly', 'independently', 'long', 'works', 'code', 'encourage', 'development', 'united', 'designing', 'coordinate', 'excellence', 'simulation', 'range', 'corenlp', 'official', 'veracity', 'solutioneither', 'eventswork', 'algorithms', 'secure', 'lead', 'updates', 'alert', 'expands.', 'innovative', 'jobsadvanced', 'infofollowget', 'hcsconrs', 'largest', 'evolving', 'entities', 'opportunity', 'flexibility', 'llp', 'employers', 'software', 'open', 'asked', 'formalities', 'obligate', 'engagements.', 'national', 'place', 'financial', 'firm', 'quantitative', 'centercookies', 'test', 'sitesave', 'time', 'advisor', 'induce', 'caution', 'bank', 'using', 'inhiringalert', 'whatsoever', 'youupload', 'provides', 'confirm', 'regression', 'jobis', 'audio', 'proactive', 'security', 'done', 'recruitment', 'guidance', 'based', 'would', 'limited', 'fraud', 'nlp', 'guarantee', 'likelihood', 'reviews', 'field.', 'spark', 'entities.', 'world', 'instead', 'manner', 'jobscompany', 'takes', 'instances', 'soutions', 'omissions', 'throughout', 'informed', 'customary', 'consultant', 'designs', 'offer', 'getting', 'continuous', 'disclaimer', 'state', 'hyderabad', 'made.', 'related', 'companies.', 'including', 'indeedprivacy', 'learningboth', 'actionable', 'scientists', 'negotiable.', 'success', 'locations', 'offers', 'firms', 'lucien', 'deposit', 'primarily', 'member', 'verbal', 'here.scam', 'team', 'interested', 'scon', 'best', 'verification', 'advisory', 'making', 'research', 'network', 'otherwise', 'private', 'efficient', 'fictitious', 'subsidiaries', 'employees', 'area', 'challengedleveraging', 'loses', 'hyderabaddeloitte', 'termslet', 'concise', 'form', 'relates', 'territory', 'legal', 'straightforward', 'process', 'video', 'consultants', 'ago', 'like', 'j', 'deloitte.', 'e.g.', 'working', 'find', 'jobapply', 'identify', 'jobs', 'scam', 'areas', 'regard', 'brand', 'behavior', 'insightful', 'nowapply', 'payment', 'network.', 'skills.', 'winning.', 'support', 'indeed.com', 'owl', 'fellow', 'senior', 'commit', 'companywherecity', 'presentations', 'mba', 'data', 'responsibility', 'registration', 'company', 'programmers', 'clarify', 'email', 'salesforce', 'science', 'uses', 'subject', 'job', 'developing', 'risk', 'requirements', 'industrialization', 'sales', 'led', 'know', 'percent', 'collaborate', 'across', 'consider', 'manual', 'line', 'natural', 'solution', 'culture', 'motivated', 'guarantee.', 'e', 'telanganacompany', 'promises', 'u.s.', 'condition', 'actions', 'thousands', 'information', 'geographic', 'understanding', 'graph', 'leadership.', 'engages', 'dedicated', 'python', 'scala', 'distinct', 'act', 'agility', 'days', 'fortune', 'deep', 'initiation', 'responsible', 'directly', 'skills', 'implementation', 'authorised', 'received', 'organization']",-1,2
6,7,Senior Research Associate (Operator) & Associate Scientist,Jeevan,"['title', 'jobscompany', 'sop', 'experience', 'salaries', 'save', 'group', 'problem', 'jeevancareer', 'codefind', 'state', 'hyderabad', 'bio', 'analysts', 'leader', 'b.pharm', 'advicebrowse', 'indeedprivacy', 'glp', 'telanganajobs', 'searchsenior', 'bioanalytical', 'jobsbrowse', 'years', 'conduct', 'indeedabouthelp', 'm.sc.', 'privacy', 'chemistry', 'study', 'analytical', 'whatjob', 'equipment.', 'associate', 'research', 'original', 'telanganasenior', 'scientistjeevan', 'development', 'reports', 'termslet', 'agency', 'per', 'methods', 'protocols', 'eventswork', 'relevant', 'qualification', 'ago', 'check', 'biochemistry', 'biotechnology', 'guidelines.', 'find', 'jobapply', 'daily', 'progress', 'updates', 'jobs', 'jobsadvanced', 'assigned', 'infofollowget', 'exp', 'scientist', 'nowapply', 'resume', 'indeed.com', 'calibration', 'guide', 'compliance', 'employers', 'description', 'operator', 'senior', 'keywords', 'salariespost', 'companywherecity', 'data', 'validation', 'reviewsfind', 'procedures', 'center', 'inform', 'standard', 'post', 'sample', 'company', 'centercookies', 'jeevan', 'laboratory', 'sops', 'completion', 'jobsenior', 'job', 'resumesign', 'sitesave', 'preparation', 'appropriate', 'm.pharm', 'youupload', 'routine', 'activity.jeevan', 'regulatory', 'jobis', 'telanganacompany', 'method', 'operation', 'applicable', 'companiessalariesindeed', 'pin', 'plan', 'maintenance', 'days', 'inemployers', 'telangana', 'work', 'operating', 'analyses']",-1,7
7,8,Process Engineer - Scientist Injectable,Dr.Reddy's,"['title', 'manner', 'jobscompany', 'experience', 'intrapersonal', 'manufacturability', 'salaries', 'transfer', 'save', 'improve', 'dive', 'timelines', 'forms', 'solver', 'acquire', 'knowledge', 'keep', 'various', 'problem', 'communication.', 'codefind', 'terms', 'qbc', 'abreast', 'state', 'telanganadr.reddy', 'transfer.', 'hyderabad', 'applying', 'product', 'hands', 'dr.reddy', 'injectabledr.reddy', 'advicebrowse', 'including', 'indeedprivacy', 'topical', 'operations.', 'technology', 'telanganajobs', 'combination', 'pharmaceutical', 'tools', 'practice', 'jobsbrowse', 'optimization', 'detailed', 'comprehend', 'interface', 'technologies', 'indeedabouthelp', 'dosage', 'delivery', 'new', 'privacy', 'scientific', 'efforts', 'team', 'whatjob', 'saying', 'sound', 'pat', 'cgmp', 'analytical', 'r', 'better', 'required', 'formulations', 'data.', 'scale', 'candidate', 'robustness', 'execute', 'leading', 'products', 'parenteral', 'results', 'original', 'rigorous', 'development', 'interest', 'independently.', 'travel', 'deliver', 'quality', 'comfortable', 'access', 'lab', 'chemical', 'solutions', 'termslet', 'formulation', 'projects', 'process', 'meeting', 'candidates', 'range', 'eventswork', 'problems', 'relevant', 'assessment', 'enhancements', 'ago', 'take', 'attributes', 'functional', 'working', 'find', 'principles', 'objectives', 'lead', 'seamlessly', 'jobapply', 'updates', 'demonstrate', 'identify', 'jobs', 'laboratories', 'innovative', 'areas', 'jobsadvanced', 'infofollowget', 'plant.', 'medicines...career', 'broader', 'scientist', 'nowapply', 'resume', 'skills.', 'willing', 'providing', 'indeed.com', 'employers', 'use', 'partner', 'reviewsread', 'reddys', 'novel', 'keywords', 'salariespost', 'basic', 'modeling', 'people', 'manufacturing', 'companywherecity', 'searchprocess', 'pilot', 'telanganaprocess', 'reviewsfind', 'experiments', 'strong', 'cqas', 'center', 'oriented', 'post', 'company', 'willingness', 'centercookies', 'here.design', 'engineering', 'integrated', 'rigor', 'manufacturing.', 'acumen', 'jobshare', 'fielddr.reddy', 'reviewsdr.', 'key', 'able', 'developing', 'job', 'improvements', 'risk', 'teaming', 'analyse', 'resumesign', 'achieve', 'sitesave', 'demonstrated', 'wide', 'qualified', 'affordable', 'using', 'across', 'youupload', 'jobis', 'qbd', 'jobprocess', 'injectable', 'telanganacompany', 'scales', 'must', 'proactive', 'engineer', 'good', 'provide', 'ability', 'accelerating', 'understanding', 'latest', 'companiessalariesindeed', 'guidance', 'sdr.reddy', 'boundaries', 'based', 'complex', 'pin', 'technical', 'limited', 'personal', 'literature', 'days', 'inemployers', 'telangana', 'work', 'committed', 'deep', 'skills', 'reviews', 'teams', 'approaches']",-1,2
8,9,"Technology head Data science, data analytics background",Truedge Software Solutions,"['title', 'jobscompany', 'experience', 'details', 'salaries', 'searchtechnology', 'save', 'stack', 'expertise', 'problem', 'codefind', 'state', 'hyderabad', 'product', 'hands', 'ai', 'advicebrowse', 'location', 'indeedprivacy', 'backgroundtruedge', 'technology', 'telanganajobs', 'truedge', 'jobsbrowse', 'indeedabouthelp', 'privacy', 'iit', 'asaptruedge', 'team', 'whatjob', 'saying', 'tech', 'original', 'jobdata', 'development', 'solutions', 'termslet', 'education', 'analytics', 'eventswork', 'mentioned', 'ago', 'working', 'find', 'lead', 'jobapply', 'updates', 'jobs', 'jobsadvanced', 'infofollowget', 'hyderabad.', 'nowapply', 'scientist', 'resume', 'top', 'indeed.com', 'schools', 'employers', 'description', 'software', 'reviewsread', 'keywords', 'salariespost', 'ml', 'people', 'companywherecity', 'data', 'reviewsfind', 'strong', 'telanganatruedge', '3', 'center', 'post', 'company', 'centercookies', 'engineering', 'science', 'able', 'job', 'resumesign', 'here.technology', 'sitesave', 'using', 'start', 'machine', 'head', 'reviewscareer', 'youupload', '+', 'jobis', 'telanganacompany', 'must', 'experience.', 'salary', 'engineer', 'telanganadata', 'commensurate', 'full', 'learning', 'companiessalariesindeed', 'python', 'date', 'technologists', 'pin', 'days', 'inemployers', 'telangana', 'preferred', 'skills', 'reviews', 'background']",-1,5
9,10,Data Scientist & Business Development,Grid Logic Software Private Limited,"['points', 'ideas', 'title', 'excellent', 'manner', 'collaboration', 'jobscompany', 'unique', 'experience', 'looking', 'systems.', 'salaries', 'advise', 'behaviour', 'save', 'improve', 'end', 'around', 'interpret', 'simple', 'knowledge', 'keep', 'draw', 'various', 'problem', 'equivalent', 'logic', 'codefind', 'abreast', 'state', 'principlesgrid', 'computer', 'hyderabad', 'applying', 'drive', 'business.', 'product', 'developmentgrid', 'develop', 'related', 'advicebrowse', 'indeedprivacy', 'actionable', 'researching', 'developed', 'insight', 'success', 'grid', 'telanganajobs', 'building', 'aspects', 'display', 'bi', 'tools', 'partners', 'jobsbrowse', 'indeedabouthelp', 'performance', 'example', 'privacy', 'drivers', 'mathematics', 'transform', 'continuously', 'team', 'analytical', 'whatjob', 'events', 'industry', 'clear', 'required', 'used', 'scale', 'private', 'original', 'power', 'jobdata', 'consisting', 'development', 'make', 'holders', 'reports', 'proven', 'termslet', 'concise', 'day.', 'reality', 'per', 'raw', 'news', 'eventswork', 'plus', 'build', 'analyst', 'enhance', 'algorithms', 'ago', 'like', 'predictive', 'sure', 'refine', 'clients', 'result', 'present', 'working', 'find', 'jobapply', 'huge', 'updates', 'jobs', 'customer', 'responsibilities', 'insights', 'business', 'solving', 'jobsadvanced', 'intuitive', 'infofollowget', 'lift', 'scientist', 'script', 'nowapply', 'resume', 'indeed.com', 'sql', 'stake', 'employers', 'use', 'communicate', 'evangelize', 'software', 'master', 'strategies', 'keywords', 'salariespost', 'degree', 'ml', 'format', 'companywherecity', 'reporting', 'data', 'different', 'analysis', 'reviewsfind', 'strong', 'ownership', 'modelling', 'succinct', '3', 'failure', 'center', 'possible', 'post', 'framework', 'individuals', 'personalizing', 'quantitative', 'company', 'centercookies', 'science', 'sense', 'handling', 'key', 'developing', 'job', 'resumesign', 'sitesave', 'general', 'preparation', 'player', 'trends', 'machine', 'youupload', 'grow', 'telanganawe', 'significant', 'tableau', 'culture', 'java', '+', 'jobis', 'models', 'telanganacompany', 'effective', 'ethics', 'ability', 'telanganadata', 'information', 'help', 'understanding', 'decisions.', 'findings', 'learning', 'companiessalariesindeed', 'python', 'product.', 'sophisticated', 'complex', 'pin', 'limited', 'orientation', 'limitedcareer', 'even', 'turn', 'days', 'inemployers', 'telangana', 'searchdata', 'work', 'preferred', 'statistics', 'monitor', 'implementation', 'skills']",-1,0
